#cache, OPT, LRU, FIFO, RAND, CLOCK
0, 0, 0, 0, 0, 0
5,8.15,0,0,0,0
10,18.3,0,0,0.63,0
15,28.45,0,0,4.05,0
20,38.6,0,0,10.49,0
25,48.75,0,0,19.82,0
30,58.9,0,0,32.1,0
35,69.05,0,0,46.12,0
40,79.2,0,0,62.98,0
45,89.35,0,0,80.56,0
50,99.5,99.5,99.5,99.5,99.5
55,99.5,99.5,99.5,99.5,99.5
60,99.5,99.5,99.5,99.5,99.5
65,99.5,99.5,99.5,99.5,99.5
70,99.5,99.5,99.5,99.5,99.5
75,99.5,99.5,99.5,99.5,99.5
80,99.5,99.5,99.5,99.5,99.5
85,99.5,99.5,99.5,99.5,99.5
90,99.5,99.5,99.5,99.5,99.5
95,99.5,99.5,99.5,99.5,99.5
100,99.5,99.5,99.5,99.5,99.5
